id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators
231034634,zldrobit/onnx_tflite_yolov3,https://api.github.com/repos/zldrobit/onnx_tflite_yolov3,63,21,1844,1,11,21
111751293,google/deepvariant,https://api.github.com/repos/google/deepvariant,2431,605,1842,1,463,18
87953014,funkey/gunpowder,https://api.github.com/repos/funkey/gunpowder,39,43,1840,13,28,21
204388414,bojone/bert4keras,https://api.github.com/repos/bojone/bert4keras,4106,798,1826,128,292,6
154232678,sql-machine-learning/elasticdl,https://api.github.com/repos/sql-machine-learning/elasticdl,650,111,1825,88,734,23
354743794,aimakerspace/PeekingDuck,https://api.github.com/repos/aimakerspace/PeekingDuck,81,16,1818,10,221,12
93728104,NTMC-Community/MatchZoo,https://api.github.com/repos/NTMC-Community/MatchZoo,3590,914,1810,30,429,28
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,22020,7782,1791,211,4541,206
124500800,Anfany/Machine-Learning-for-Beginner-by-Python3,https://api.github.com/repos/Anfany/Machine-Learning-for-Beginner-by-Python3,353,232,1777,2,2,1
51317975,Netflix/vmaf,https://api.github.com/repos/Netflix/vmaf,2718,571,1774,77,353,70
145453331,JohnSnowLabs/spark-nlp-workshop,https://api.github.com/repos/JohnSnowLabs/spark-nlp-workshop,647,379,1769,1,58,43
222649526,d2l-ai/d2l-vi,https://api.github.com/repos/d2l-ai/d2l-vi,467,220,1767,0,1336,53
174063977,h2oai/driverlessai-recipes,https://api.github.com/repos/h2oai/driverlessai-recipes,179,75,1765,16,8,45
147428821,Labelbox/labelbox-python,https://api.github.com/repos/Labelbox/labelbox-python,44,30,1744,0,34,24
72236823,jparkhill/TensorMol,https://api.github.com/repos/jparkhill/TensorMol,237,75,1724,18,19,8
61397447,microsoft/AcademicContent,https://api.github.com/repos/microsoft/AcademicContent,2244,939,1724,2,63,59
98052177,asyml/texar,https://api.github.com/repos/asyml/texar,2243,372,1719,31,126,27
149512216,intel/dffml,https://api.github.com/repos/intel/dffml,150,125,1716,310,438,53
96346574,calico/basenji,https://api.github.com/repos/calico/basenji,219,77,1695,23,59,5
102903563,NVIDIA/OpenSeq2Seq,https://api.github.com/repos/NVIDIA/OpenSeq2Seq,1432,357,1695,80,176,34
94331757,bethgelab/foolbox,https://api.github.com/repos/bethgelab/foolbox,2148,384,1686,35,299,31
287463830,microsoft/qlib,https://api.github.com/repos/microsoft/qlib,7988,1364,1681,138,313,72
227332007,nusdbsystem/singa-auto,https://api.github.com/repos/nusdbsystem/singa-auto,10,13,1673,12,41,20
241048164,jina-ai/examples,https://api.github.com/repos/jina-ai/examples,416,150,1669,4,159,60
91730359,GoogleCloudPlatform/professional-services,https://api.github.com/repos/GoogleCloudPlatform/professional-services,1996,973,1666,45,81,160
132939275,hackingmaterials/automatminer,https://api.github.com/repos/hackingmaterials/automatminer,89,36,1666,34,138,10
206670333,sgoldenlab/simba,https://api.github.com/repos/sgoldenlab/simba,153,77,1657,22,114,7
92664599,kozistr/Awesome-GANs,https://api.github.com/repos/kozistr/Awesome-GANs,673,161,1652,11,13,2
5697090,wookayin/dotfiles,https://api.github.com/repos/wookayin/dotfiles,218,82,1643,1,16,4
157198623,hanxiao/bert-as-service,https://api.github.com/repos/hanxiao/bert-as-service,9869,1894,1640,254,251,37
159568339,dreadl0ck/netcap,https://api.github.com/repos/dreadl0ck/netcap,1532,137,1637,1,15,7
38223600,openvax/mhcflurry,https://api.github.com/repos/openvax/mhcflurry,132,43,1624,3,111,10
20634831,robotika/osgar,https://api.github.com/repos/robotika/osgar,11,10,1618,44,18,5
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,24943,6651,1611,3,1312,34
277037357,nanotheorygroup/kaldo,https://api.github.com/repos/nanotheorygroup/kaldo,44,14,1605,3,9,6
96482151,guicho271828/latplan,https://api.github.com/repos/guicho271828/latplan,70,16,1600,0,9,2
213020264,google/trax,https://api.github.com/repos/google/trax,6760,692,1592,84,121,69
90264407,tslearn-team/tslearn,https://api.github.com/repos/tslearn-team/tslearn,2008,261,1581,75,178,30
95995403,lmcinnes/umap,https://api.github.com/repos/lmcinnes/umap,5388,611,1572,302,286,86
112676803,apple/turicreate,https://api.github.com/repos/apple/turicreate,10571,1121,1571,473,1284,73
225903949,tum-pbs/PhiFlow,https://api.github.com/repos/tum-pbs/PhiFlow,521,84,1570,1,12,9
227367327,PINTO0309/PINTO_model_zoo,https://api.github.com/repos/PINTO0309/PINTO_model_zoo,1447,243,1564,2,172,8
161509700,PaddlePaddle/FleetX,https://api.github.com/repos/PaddlePaddle/FleetX,233,89,1558,52,38,39
156926195,tensorflow/io,https://api.github.com/repos/tensorflow/io,532,219,1558,164,329,85
181401988,avisingh599/reward-learning-rl,https://api.github.com/repos/avisingh599/reward-learning-rl,333,62,1550,11,17,10
47694811,jcmgray/quimb,https://api.github.com/repos/jcmgray/quimb,236,53,1550,28,52,14
15994566,gooofy/zamia-ai,https://api.github.com/repos/gooofy/zamia-ai,143,28,1546,0,10,2
